"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C22, C23, C24, C25, C26","6","221J03","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"2","C2, C27, C101","3","0.1UF-0603-25V-5%","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"3","C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17","15","Y5F","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"4","C18, C19, C20, C21","4","C_Polarized","Capacitor_THT:CP_Axial_L18.0mm_D6.5mm_P25.00mm_Horizontal",""
"5","C28","1","0.1UF-0603-25V-5%","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm",""
"6","D1","1","1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"7","DPLX_sw_SG1, DPLX_sw_SG2","2","SW_SPDT","",""
"8","P15","1","Conn_02x40_Odd_Even_Shielded","Edge Connectors:80 pin Edge Finger Connector",""
"9","R0, R21, R22, R23, R1000","5","330R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"10","R2, R3, R4, R5, R6, R7","6","220R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"11","R8, R9, R10, R11, R12, R13, R14, R17","8","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"12","R15, R20","2","YR1B24K9CC","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"13","R16, R18","2","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"14","R19","1","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"15","R101","1","150R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"16","SW1","1","SW_DIP_x08","Package_DIP:DIP-16_W7.62mm_Socket",""
"17","UA1, UA2","2","P8212","Package_DIP:DIP-24_W15.24mm",""
"18","UA3, UA4","2","8274N","Package_DIP:DIP-16_W7.62mm",""
"19","UA5","1","74LS76","Package_DIP:DIP-16_W7.62mm",""
"20","UA6, UB8, UC6, UF3, UF6","5","SN74LS00N","Package_DIP:DIP-14_W7.62mm",""
"21","UA7, UE7","2","SN74LS10N","Package_DIP:DIP-14_W7.62mm",""
"22","UA8, UB5, UC7, UC8, UE3, UF2, UF4","7","SN74LS74AN","Package_DIP:DIP-14_W7.62mm",""
"23","UB3, UC3","2","74173","Package_DIP:DIP-16_W7.62mm",""
"24","UB4","1","SN74LS51N","Package_DIP:DIP-14_W7.62mm",""
"25","UB6, UD7, UF5","3","SN74LS08N","Package_DIP:DIP-14_W7.62mm",""
"26","UB7, UC2, UD8","3","SN74LS04N","Package_DIP:DIP-14_W7.62mm",""
"27","UC1","1","N8T98N","Package_DIP:DIP-16_W7.62mm",""
"28","UC4","1","9324N","Package_DIP:DIP-16_W7.62mm",""
"29","UC5, UE5","2","SN75113N","Package_DIP:DIP-16_W7.62mm",""
"30","UD1, UE1, UE2","3","SN7406N","Package_DIP:DIP-14_W7.62mm",""
"31","UD3","1","N8273N","Package_DIP:DIP-16_W7.62mm",""
"32","UD5, UD6, UE6","3","SN75115N","Package_DIP:DIP-16_W7.62mm",""
"33","UE4","1","N8T97N","Package_DIP:DIP-16_W7.62mm",""
"34","UE8","1","74LS160","Package_DIP:DIP-16_W7.62mm",""
"35","UF1","1","Q2T2222","Package_DIP:DIP-14_W7.62mm",""
"36","UF7","1","SN74LS20N","Package_DIP:DIP-14_W7.62mm",""
"37","UF8","1","74LS175","Package_DIP:DIP-16_W7.62mm",""
